Class	Average Difficulty	Additional Comments	Difficulty	Date
		"This database is only possible though the people who spend time filling out their classes! Submit your classes:  (Last updated June 14th 2023)

https://docs.google.com/forms/d/1ieV9hByRgtBzp4mrEwRcNBNFnLC9f4XfZ6RPoa-NrD4"	Github	
AHS008	1.00	if you just do the essays and participate a little in class you can get an easy A. Professor Brookshire is super nice and accommodating. 	1	12/17/2020
AHS010S	4.00	Nicole Strathman is a very chill professor. Class is not that difficult if you go to class and take notes. No homework, gave out extra credit which was to go to a museum and answer the questions, she gives out pop quizzes which are short answer(about 3-4 questions), midterm was short answer questions and a page front and back of multiple choice (midterm is easy only if you study) gotta rememeber the images she shows, final is online and she posts questions all you gotta do is answer each question using key terms and at least a page each. legit all her quizzes and tests are all on the lecture so just show up to class. sounds like a lot but its really not. good luck. 	4	6/5/2020
AHS017B	4.00	gave 4 quizzes instead of two midterms so it made it easier to memorize the information, final project, and a final exam. Puts powerpoints of the lecture on ilearn and the points for discussion sections are just attendance	4	3/20/2020
AHS021	3.00	Took Spring 2021 (online) w/ Katherine Rush. Pretty easy course, just take notes and participate every once in a while. Lectures are recorded and discussions are mandatory. There's readings but you mainly need to read short articles for discussion and skim through lecture readings b/c the assignments require it. ~6 writing assignments throughout the quarter and 1 final paper (make sure to be really specific when explaining). Pretty easy class and its interesting. Prof is also really nice and understanding	3	5/30/2021
AHS023	5.00	Professor Weems is great. The exams aren't particularly easy, but not that bad. 	5	8/3/2021
AHS028	6.33	LeBlanc is a good prof and entertaining, gives 2 midterms and one final and an essay and make sure you do well on those if you want a good grade. Her exams are heavily memorization based so get ready to memorize 10+ images per week with the dates, medium, artist, culture, etc. Overall the class is difficult but not impossible if you put in work.	6	2/7/2020
		Taking this class online is difficult because Professor Le Blanc spends about half an hour talking about the Dodgers or politics before finally settling into the lecture. She also rambles a bit so you have to really pay attention or ask specific questions. The material isn't really difficult to understand, it's just that whatever she says in lecture is so niche that you have to be present. Our midterm was assigned over three days, and it was THREE five page essays regarding images on slides that gave no further information than who painted it in what year. And on top of that two weeks later we have another five page essay due that isn't even a final.	7	11/16/2020
		Had it with LeBlanc. The class is based off slides and extra readings that can be from 10-20 pages long. Discussions are based off the readings but you can sometimes just skim through the reading and you'll be fine. You need to sign up on a website to get your participation grade which is only 3 lectures but you don't actually have to participate. Lecture isn't mandatory only the 3 days you sign up. There are 1-2 paragraph unit responses which weren't even that bad and are due every 2 or 3 weeks I believe. 1 midterm, 1 paper and a final. Midterm consists of 3 questions 5 pages in length and she only gives you about a week to complete. Final is the same format. If you don't like writing, then I wouldn't recommend this class. 	6	3/8/2021
AHS165	1.00	Summer 2022. Online. No discussion. Took with Molly Bond. Simple class with easy quizzes based off asynchronous material in class. Attendance matters. The final is an essay regarding various pieces of art. Super easy homework assignments. Make sure to read the readings.  	1	7/11/2022
AHS182	3.00	Spring 23, in person with prof. Kotz. Not a good prof for this class. I did not learn much and she is extremely scatterbrained. She has never gotten back to many of our emails and her guidelines for assignments are very vague. She has not even graded anything and by the time I am writing this it is week 9. She does not know how to use canvas. I would not suggest this professor at all. This class should have been online. 	3	5/29/2023
ANTH001	2.75	Prof. Sally Ness: 1 MT 1 Final Non-cumulative. Minimal reading (only to keep up in discussion). At minimum: take notes in lecture, attend and participate in discussion. 	2	4/5/2017
		"I took the class with Prof. McMullin. She assigned 3 essays, with 1F and 1M. There is assigned readings but not really any hw besides readings and essays, I only remember having to write like a paragraph and turn it in online. She links back readings and videos we watch in class to lectures, expects a mention or 2 in your essays, and many questions on the midterm and final are based on them. In short, doing the readings, they're pretty important. Her TAs can be strict or lenient, pray on that, as they grade your 3 essays. McMullin is very much lenient herself, she gave us an extra credit opportunity for 30 free points on our 200 point midterm and even gave us the final's essay questions as take home. 

TLDR: Easy class, IF you do the readings. DO READINGS. "	2	12/11/2018
		"Class is not difficult, but the way your TA grades makes a huge difference. You need to go to lectures and all discussions, counts for like 10%. Pray that your TA is lenient, because the essay rubrics are very subjective (10 points can be docked off resulting in a B- just for ""lack of persuasiveness"".) Do the readings, the exams are based on them and lecture. Overall, the material is not difficult, but the grading is sooo subjective, even for the exams."	5	1/5/2019
		Homework, Professor was boring, exams were lame. 	7	3/27/2019
		I had Prof. McMullin. A LOT of reading.	3	4/3/2019
		Took it with Dr. Nida; Go to lecture for clickers, read occasionally, and go to discussion and you should be fine, passed with an A+	2	6/8/2019
		Had worku nida, its an easy class but a lot of homework. Dont sit at the front of the class if youre shy	2	6/15/2019
		Easy with Professor Nida. 1 midterm (50 multiple choice) and 1 cumulative final (100 questions). 4 one page movie reviews, 2 two page papers, and attendance is taken through poll everywhere. Many extra credit points available. 	1	6/15/2019
		took it with Dr. Nida this quarter, honestly he is a good professor. just do the readings because some concepts are not intuitive. 3 assignments in the entire quarter and clicker questions that are answered on a free app during lecture. 	2	11/26/2019
		A lot of homework and reading, just go to class for poll everywhere questions. Midterm had 60 multiple choice questions with 3 extra credit multiple choice questions. (63 total) He gave 15 extra poll everywhere points to everyone so there is possibility for extra credit. 	5	12/6/2019
		Worku Nida has a thick accent but you get used to it. He uses poll everywhere so attending lecture is kinda mandatory. We had two 2 page papers to write which you got an A on if you put any effort into them. It was a very interesting class and I would recommend. 	5	12/10/2019
		Dr. Nida - I wouldn't say this class was free. You definitely need to read to do well on the midterms and finals since the questions are based off of the readings. However, everything else was easy and if you are diligent in not missing points by not attending lecture, answering clickers, doing the extra credit, you can easily get over a 100% in the class. The extra credit literally boosts your grade by 4%. His RMP rating is deceivingly bad but I would still recommend taking this class.	4	12/14/2019
		Dr Nida is a wonderful and sweet man, and obviously knows the content he's teaching, but unfortunately he can't lecture to save his life. I believe he teaches during fall and spring quarters. Attendance is done through PollEverywhere so show up to lecture for that. Otherwise if you do the readings, show up to discussion (my TA was wonderful - Breidy if you're reading this you're the best!), and do what's required you'll be okay. 3 assignments, 1 midterm, and 1 final which is only cumulative for everything covered after the midterm. There is also 10 points of extra credit. I finished with a B+ in the class and I think I could have done better if my participation grade were higher. 	3	12/14/2019
		Just read the text book and all of the tests are multiple choice.	3	2/18/2020
		I got an A+ without studying that much-review the study guide and go to class, participate in discussion	1	3/26/2020
		Took it online with Prof Worku Nida. He does prerecorded lectures. His class consists of 2 essays (one is 2 pages long and another is 3 pages), 1 midterm and 1 final (which he gives out optional practice exams before each), and discussion is mandatory. Pretty easy A. 	3	7/1/2020
		Had Nida, he is the best ever for this class! I loved him, easy A if u put in the work.	2	8/10/2020
		Easy Class. Every exam questions are on quizlet. Please always submit your work on-time and attend to all lectures if possible.	3	3/16/2021
		"dr nida winter 2021: super interesting subject, lectures optional. never really had to study past the weekly homework ""quizzes"", and grading of writing assignments all depends on your ta--i got really lucky w reed who was super nice and lenient."	3	3/20/2021
		Had this with Professor Nida. This isn't a difficult class at all and was my first Breadth class I took at UCR. As long as you study before the exams, you should be good.	3	5/22/2021
		Took with Dr. Nida W22. Very easy class. However, you have to pay a lot for the ebook, and some assignments. Never went to lecture, still got an A. 2 easy essays about covid and your culture. Did not like the Public Anthropology essay. Had to pay $15 just to turn in an essay and have it peer reviewed. That could have easily been assigned in canvas. 	1	3/9/2022
		Winter 2022, I had Nidua? Never attended lectures only discussion, easy A. Great breadth class. 	3	3/19/2022
		"Took it in Winter '22 with Prof. Worku Nida and it was a pretty easy class. I never went to lecture and just did the assignments, and got an A. My only issue with the class is that you have to pay for EVERYTHING. You are required to pay for the textbook, quizzes, journal, and our ""project,"" which was literally just to write a short letter and do some peer reviews. All of these things could have easily been done on Canvas, but instead we had to pay $50+ for it all. In short, the class is an easy A if you are willing/able to pay for all the materials."	2	3/31/2022
		This class is extremely disorganized and lectures are hard to understand, but the material is common sense for the most part. Prompts are terribly long when they don't need to be. 	3	5/27/2022
